  DATA CHANNELS:                                            
         ch      emin -        emax         data    +-      
        344     337.32     338.33     0.37351E-02     0.34317E-05
        345     338.33     339.34     0.36973E-02     0.34140E-05
        346     339.34     340.35     0.36045E-02     0.33710E-05
        347     340.35     341.36     0.34965E-02     0.33038E-05
        348     341.36     342.37     0.34969E-02     0.33203E-05
        349     342.37     343.38     0.34588E-02     0.33022E-05
        350     343.38     344.39     0.34171E-02     0.32823E-05
        351     344.39     345.39     0.33955E-02     0.32718E-05
        352     345.39     346.40     0.33507E-02     0.32340E-05
        353     346.40     347.41     0.33846E-02     0.32667E-05
        354     347.41     348.42     0.34063E-02     0.32770E-05
        355     348.42     349.43     0.36290E-02     0.33826E-05
        356     349.43     350.44     0.40342E-02     0.35486E-05
        357     350.44     351.45     0.41432E-02     0.36141E-05
        358     351.45     352.46     0.36580E-02     0.33961E-05
        359     352.46     353.47     0.33326E-02     0.32414E-05
        360     353.47     354.48     0.31997E-02     0.31604E-05
        361     354.48     355.48     0.32011E-02     0.31769E-05
        362     355.48     356.49     0.31773E-02     0.31649E-05
        363     356.49     357.50     0.31628E-02     0.31576E-05
        364     357.50     358.51     0.31210E-02     0.31214E-05
        365     358.51     359.52     0.31273E-02     0.31400E-05
        366     359.52     360.53     0.31057E-02     0.31291E-05
        367     360.53     361.54     0.31045E-02     0.31286E-05
        368     361.54     362.55     0.30594E-02     0.30903E-05
        369     362.55     363.56     0.30849E-02     0.31188E-05
        370     363.56     364.57     0.30836E-02     0.31180E-05
        371     364.57     365.58     0.30908E-02     0.31217E-05
        372     365.58     366.58     0.30515E-02     0.30865E-05
        373     366.58     367.59     0.30572E-02     0.31046E-05
        374     367.59     368.60     0.30203E-02     0.30858E-05
        375     368.60     369.61     0.30013E-02     0.30763E-05
        376     369.61     370.62     0.29526E-02     0.30359E-05
        377     370.62     371.63     0.29828E-02     0.30667E-05
        378     371.63     372.64     0.29995E-02     0.30754E-05
        379     372.64     373.65     0.29975E-02     0.30742E-05
        380     373.65     374.66     0.29359E-02     0.30275E-05
        381     374.66     375.66     0.29392E-02     0.30441E-05
        382     375.66     376.67     0.29088E-02     0.30284E-05
        383     376.67     377.68     0.29159E-02     0.30322E-05
        384     377.68     378.69     0.28564E-02     0.29860E-05
        385     378.69     379.70     0.28553E-02     0.30004E-05
        386     379.70     380.71     0.28415E-02     0.29933E-05
        387     380.71     381.72     0.28604E-02     0.30031E-05
        388     381.72     382.73     0.28575E-02     0.30016E-05
        389     382.73     383.74     0.28054E-02     0.29595E-05
        390     383.74     384.75     0.28356E-02     0.29901E-05
        391     384.75     385.75     0.28421E-02     0.29935E-05
        392     385.75     386.76     0.28091E-02     0.29762E-05
        393     386.76     387.77     0.27723E-02     0.29418E-05
        394     387.77     388.78     0.28340E-02     0.29894E-05
        395     388.78     389.79     0.29037E-02     0.30258E-05
        396     389.79     390.80     0.28559E-02     0.30007E-05
        397     390.80     391.81     0.27496E-02     0.29299E-05
        398     391.81     392.82     0.27523E-02     0.29458E-05
        399     392.82     393.83     0.27554E-02     0.29475E-05
        400     393.83     394.84     0.27529E-02     0.29463E-05
        401     394.84     395.84     0.26868E-02     0.28961E-05
        402     395.84     396.85     0.26714E-02     0.29023E-05
        403     396.85     397.86     0.26545E-02     0.28932E-05
        404     397.86     398.87     0.26501E-02     0.28907E-05
        405     398.87     399.88     0.26289E-02     0.28649E-05
        406     399.88     400.89     0.26633E-02     0.28979E-05
        407     400.89     401.90     0.27927E-02     0.29674E-05
        408     401.90     402.91     0.30312E-02     0.30917E-05
        409     402.91     403.92     0.29851E-02     0.30527E-05
        410     403.92     404.92     0.27117E-02     0.29241E-05
        411     404.92     405.93     0.25844E-02     0.28548E-05
        412     405.93     406.94     0.25561E-02     0.28389E-05
        413     406.94     407.95     0.25195E-02     0.28045E-05
        414     407.95     408.96     0.25297E-02     0.28244E-05
        415     408.96     409.97     0.25393E-02     0.28296E-05
        416     409.97     410.98     0.25526E-02     0.28370E-05
        417     410.98     411.99     0.25434E-02     0.28179E-05
        418     411.99     413.00     0.25497E-02     0.28354E-05
        419     413.00     414.00     0.25516E-02     0.28366E-05
        420     414.00     415.01     0.25621E-02     0.28423E-05
        421     415.01     416.02     0.26412E-02     0.28715E-05
        422     416.02     417.03     0.27786E-02     0.29601E-05
        423     417.03     418.04     0.26666E-02     0.28996E-05
        424     418.04     419.05     0.24950E-02     0.28048E-05
        425     419.05     420.06     0.24397E-02     0.27600E-05
        426     420.06     421.07     0.24515E-02     0.27803E-05
        427     421.07     422.08     0.24571E-02     0.27834E-05
        428     422.08     423.08     0.24516E-02     0.27805E-05
        429     423.08     424.09     0.24318E-02     0.27691E-05
        430     424.09     425.10     0.23910E-02     0.27323E-05
        431     425.10     426.11     0.24328E-02     0.27697E-05
        432     426.11     427.12     0.24388E-02     0.27730E-05
        433     427.12     428.13     0.24151E-02     0.27597E-05
        434     428.13     429.14     0.23666E-02     0.27182E-05
        435     429.14     430.15     0.23766E-02     0.27375E-05
        436     430.15     431.16     0.23643E-02     0.27305E-05
        437     431.16     432.16     0.23675E-02     0.27323E-05
        438     432.16     433.17     0.23302E-02     0.26972E-05
        439     433.17     434.18     0.23505E-02     0.27226E-05
        440     434.18     435.19     0.23574E-02     0.27264E-05
        441     435.19     436.20     0.24197E-02     0.27623E-05
        442     436.20     437.21     0.26983E-02     0.29027E-05
        443     437.21     438.22     0.35126E-02     0.33281E-05
        444     438.22     439.23     0.41011E-02     0.35963E-05
        445     439.23     440.23     0.37314E-02     0.34302E-05
        446     440.23     441.24     0.29532E-02     0.30365E-05
        447     441.24     442.25     0.25067E-02     0.28116E-05
        448     442.25     443.26     0.23511E-02     0.27229E-05
        449     443.26     444.27     0.22925E-02     0.26886E-05
        450     444.27     445.28     0.22300E-02     0.26387E-05
        451     445.28     446.29     0.22501E-02     0.26637E-05
        452     446.29     447.30     0.22458E-02     0.26612E-05
        453     447.30     448.31     0.22569E-02     0.26678E-05
        454     448.31     449.31     0.22671E-02     0.26605E-05
        455     449.31     450.32     0.24030E-02     0.27530E-05
        456     450.32     451.33     0.24446E-02     0.27765E-05
        457     451.33     452.34     0.23356E-02     0.27138E-05
        458     452.34     453.35     0.22132E-02     0.26289E-05
        459     453.35     454.36     0.22068E-02     0.26379E-05
        460     454.36     455.37     0.21827E-02     0.26235E-05
        461     455.37     456.38     0.21716E-02     0.26169E-05
        462     456.38     457.38     0.21402E-02     0.25850E-05
        463     457.38     458.39     0.21673E-02     0.26143E-05
        464     458.39     459.40     0.21626E-02     0.26115E-05
        465     459.40     460.41     0.21586E-02     0.26091E-05
        466     460.41     461.42     0.21315E-02     0.25798E-05
        467     461.42     462.43     0.21631E-02     0.26119E-05
        468     462.43     463.44     0.21563E-02     0.26077E-05
        469     463.44     464.45     0.21435E-02     0.26001E-05
        470     464.45     465.45     0.21275E-02     0.25902E-05
        471     465.45     466.46     0.21089E-02     0.25660E-05
        472     466.46     467.47     0.21285E-02     0.25910E-05
        473     467.47     468.48     0.21231E-02     0.25875E-05
        474     468.48     469.49     0.21222E-02     0.25870E-05
        475     469.49     470.50     0.22037E-02     0.26232E-05
        476     470.50     471.51     0.25034E-02     0.28097E-05
        477     471.51     472.52     0.27107E-02     0.29238E-05
        478     472.52     473.52     0.24412E-02     0.27747E-05
        479     473.52     474.53     0.21480E-02     0.25897E-05
        480     474.53     475.54     0.21419E-02     0.25990E-05
        481     475.54     476.55     0.21819E-02     0.26231E-05
        482     476.55     477.56     0.22254E-02     0.26491E-05
        483     477.56     478.57     0.21659E-02     0.26006E-05
        484     478.57     479.58     0.20895E-02     0.25670E-05
        485     479.58     480.59     0.20659E-02     0.25524E-05
        486     480.59     481.59     0.20504E-02     0.25430E-05
        487     481.59     482.60     0.20231E-02     0.25134E-05
        488     482.60     483.61     0.20335E-02     0.25324E-05
        489     483.61     484.62     0.20280E-02     0.25291E-05
        490     484.62     485.63     0.20100E-02     0.25178E-05
        491     485.63     486.64     0.19803E-02     0.24866E-05
        492     486.64     487.65     0.19896E-02     0.25051E-05
        493     487.65     488.66     0.19919E-02     0.25064E-05
        494     488.66     489.66     0.19824E-02     0.25005E-05
        495     489.66     490.67     0.19641E-02     0.24764E-05
        496     490.67     491.68     0.19742E-02     0.24952E-05
        497     491.68     492.69     0.19791E-02     0.24984E-05
        498     492.69     493.70     0.19698E-02     0.24924E-05
        499     493.70     494.71     0.19514E-02     0.24684E-05
        500     494.71     495.72     0.19689E-02     0.24920E-05
        501     495.72     496.73     0.19643E-02     0.24890E-05
        502     496.73     497.73     0.19574E-02     0.24846E-05
        503     497.73     498.74     0.19391E-02     0.24608E-05
        504     498.74     499.75     0.19594E-02     0.24859E-05
        505     499.75     500.76     0.19612E-02     0.24871E-05
        506     500.76     501.77     0.19510E-02     0.24805E-05
        507     501.77     502.78     0.19584E-02     0.24852E-05
        508     502.78     503.79     0.19458E-02     0.24650E-05
        509     503.79     504.79     0.19909E-02     0.25058E-05
        510     504.79     505.80     0.20800E-02     0.25613E-05
        511     505.80     506.81     0.24113E-02     0.27578E-05
        512     506.81     507.82     0.34785E-02     0.32957E-05
        513     507.82     508.83     0.67370E-02     0.46095E-05
        514     508.83     509.84     0.13061E-01     0.64185E-05
        515     509.84     510.85     0.18962E-01     0.77331E-05
        516     510.85     511.86     0.17579E-01     0.74090E-05
        517     511.86     512.86     0.10649E-01     0.57957E-05
        518     512.86     513.87     0.48849E-02     0.39250E-05
        519     513.87     514.88     0.26339E-02     0.28823E-05
        520     514.88     515.89     0.20012E-02     0.24999E-05
        521     515.89     516.90     0.18397E-02     0.24087E-05
        522     516.90     517.91     0.17471E-02     0.23474E-05
        523     517.91     518.92     0.17146E-02     0.23255E-05
        524     518.92     519.92     0.16894E-02     0.22967E-05
        525     519.92     520.93     0.16972E-02     0.23137E-05
        526     520.93     521.94     0.16873E-02     0.23069E-05
        527     521.94     522.95     0.16765E-02     0.22994E-05
        528     522.95     523.96     0.16566E-02     0.22746E-05
        529     523.96     524.97     0.16631E-02     0.22902E-05
        530     524.97     525.98     0.16513E-02     0.22823E-05
        531     525.98     526.99     0.16528E-02     0.22833E-05
        532     526.99     527.99     0.16407E-02     0.22635E-05
        533     527.99     529.00     0.16526E-02     0.22831E-05
        534     529.00     530.01     0.16550E-02     0.22847E-05
        535     530.01     531.02     0.16563E-02     0.22855E-05
        536     531.02     532.03     0.16387E-02     0.22622E-05
        537     532.03     533.04     0.16471E-02     0.22792E-05
        538     533.04     534.05     0.16449E-02     0.22776E-05
        539     534.05     535.05     0.16574E-02     0.22864E-05
        540     535.05     536.06     0.16516E-02     0.22711E-05
