trigger_num,name,t90,flnc_band_alpha,flnc_band_beta,flnc_band_epeak,flnc_band_phtflux
1665,4B 920622-,   0.192,  -0.05,  -4.58,458,   0.34
6413,GRB 971005,   6.528,  -0.08,  -2.89,70.8,   2.31
2430,4B 930705-,  28.096,  -1.53,  -2.45,122,   0.80
2877,4B 940312-, 114.112,  -1.37,  -3.78,184,   1.00
7607,GRB 990615,  70.656,  -0.41,  -2.88,54.1,   1.56
1709,4B 920718-,   3.456,  -1.09,  -3.21,189,   5.30
2419,4B 930627,  76.256,  -0.55,  -3.04,251,   0.32
3652,4B 950628,,  -1.91,  -7.63,757,   0.65
1646,4B 920613-, 129.024,  -1.91,  -7.28,1910,   0.51
3366,4B 950118-,,  -1.13,  -2.77,199,   0.55
2320,4B 930428,   0.608,  -0.86,  -2.11,217,   3.25
2448,4B 930719-,   0.768,   2.30,  -1.74,267,   0.43
2102,4B 921218,  11.520,  -1.44,  -8.49,155,   0.93
3415,4B 950211-,  54.336,  -1.38,  -3.03,163,   2.37
7845,GRB 991108,  81.344,  -0.65,  -2.04,548,   0.62
6757,GRB 980513,   2.432,  -0.60,  -3.20,391,   1.39
5527,4B 960703-,   0.820,  -0.18,  -2.61,682,   1.54
3319,4B 941214, 206.272,   0.01,  -3.33,168,   1.01
5304,4B 960322-,  22.784,  -0.89, -14.90,372,   4.74
6109,GRB 970302-,  55.296,  -1.52, -17.35,218,   0.39
7843,GRB 991107, 102.272,  -1.75,  -7.45,1140,   0.58
6299,GRB 970708-,   0.202,  -1.40,  -5.43,242,   0.76
5647,GRB 961027-,   1.088,  -0.79,  -1.98,1050,   0.97
7030,GRB 980829,  47.744,  -1.01,  -3.50,147,   1.21
2996,4B 940527-,  50.848,  -1.97,  -9.54,177,   0.57
3308,4B 941203,   0.512,  -1.21, -18.63,1110,   0.27
1279,4B 920105,  37.760,  -1.41,  -2.55,99.6,   0.65
5478,4B 960530, 296.960,  -0.64,  -2.36,138,   0.92
7063,GRB 980904-,   0.128,  -0.66,  -4.09,735,   0.82
